w0,w1,w2,n,mle
<s>,<s>,day,1,1.0067857358596944e-05
<s>,<s>,dead,1,1.0067857358596944e-05
<s>,<s>,dear,2,2.013571471719389e-05
<s>,<s>,den,1,1.0067857358596944e-05
<s>,<s>,deserves,1,1.0067857358596944e-05
<s>,<s>,did,31,0.00031210357811650523
<s>,<s>,didnt,12,0.00012081428830316332
<s>,<s>,digging,1,1.0067857358596944e-05
<s>,<s>,direct,1,1.0067857358596944e-05
<s>,<s>,directly,1,1.0067857358596944e-05
<s>,<s>,disgraceful,1,1.0067857358596944e-05
<s>,<s>,dites,1,1.0067857358596944e-05
<s>,<s>,do,59,0.0005940035841572196
<s>,<s>,does,6,6.040714415158166e-05
<s>,<s>,doesnt,6,6.040714415158166e-05
<s>,<s>,don,1,1.0067857358596944e-05
<s>,<s>,dont,117,0.0011779393109558425
<s>,<s>,down,7,7.04750015101786e-05
<s>,<s>,dozen,1,1.0067857358596944e-05
<s>,<s>,drink,7,7.04750015101786e-05
<s>,<s>,drive,1,1.0067857358596944e-05
<s>,<s>,drunk,4,4.027142943438778e-05
<s>,<s>,dun,1,1.0067857358596944e-05
<s>,<s>,during,7,7.04750015101786e-05
<s>,<s>,e,1,1.0067857358596944e-05
<s>,<s>,each,6,6.040714415158166e-05
<s>,<s>,eat,6,6.040714415158166e-05
<s>,<s>,edna,5,5.033928679298472e-05
<s>,<s>,eight,2,2.013571471719389e-05
<s>,<s>,eighteen,1,1.0067857358596944e-05
<s>,<s>,either,1,1.0067857358596944e-05
<s>,<s>,enjoying,1,1.0067857358596944e-05
<s>,<s>,enormous,2,2.013571471719389e-05
<s>,<s>,es,1,1.0067857358596944e-05
<s>,<s>,especially,1,1.0067857358596944e-05
<s>,<s>,etienne,1,1.0067857358596944e-05
<s>,<s>,even,2,2.013571471719389e-05
<s>,<s>,ever,2,2.013571471719389e-05
<s>,<s>,every,6,6.040714415158166e-05
<s>,<s>,everybody,7,7.04750015101786e-05
<s>,<s>,everybodys,2,2.013571471719389e-05
<s>,<s>,everything,8,8.054285886877555e-05
<s>,<s>,exactly,1,1.0067857358596944e-05
<s>,<s>,except,1,1.0067857358596944e-05
<s>,<s>,externally,1,1.0067857358596944e-05
<s>,<s>,extraordinary,1,1.0067857358596944e-05
<s>,<s>,fake,1,1.0067857358596944e-05
<s>,<s>,false,1,1.0067857358596944e-05
<s>,<s>,fancy,1,1.0067857358596944e-05
<s>,<s>,far,1,1.0067857358596944e-05
<s>,<s>,feel,3,3.020357207579083e-05
<s>,<s>,few,1,1.0067857358596944e-05
<s>,<s>,fifteen,2,2.013571471719389e-05
<s>,<s>,fifty,2,2.013571471719389e-05
<s>,<s>,fight,1,1.0067857358596944e-05
<s>,<s>,filling,1,1.0067857358596944e-05
<s>,<s>,finally,7,7.04750015101786e-05
<s>,<s>,find,1,1.0067857358596944e-05
<s>,<s>,fine,12,0.00012081428830316332
<s>,<s>,first,2,2.013571471719389e-05
<s>,<s>,five,1,1.0067857358596944e-05
<s>,<s>,floating,1,1.0067857358596944e-05
<s>,<s>,following,1,1.0067857358596944e-05
<s>,<s>,food,1,1.0067857358596944e-05
<s>,<s>,for,14,0.0001409500030203572
<s>,<s>,forget,1,1.0067857358596944e-05
<s>,<s>,forgive,1,1.0067857358596944e-05
<s>,<s>,form,1,1.0067857358596944e-05
<s>,<s>,fortunate,1,1.0067857358596944e-05
<s>,<s>,forty,1,1.0067857358596944e-05
<s>,<s>,four,1,1.0067857358596944e-05
<s>,<s>,frances,7,7.04750015101786e-05
<s>,<s>,frankie,1,1.0067857358596944e-05
<s>,<s>,friends,1,1.0067857358596944e-05
<s>,<s>,frightful,1,1.0067857358596944e-05
<s>,<s>,frightfully,2,2.013571471719389e-05
<s>,<s>,from,5,5.033928679298472e-05
<s>,<s>,fun,1,1.0067857358596944e-05
<s>,<s>,funny,3,3.020357207579083e-05
<s>,<s>,g,1,1.0067857358596944e-05
<s>,<s>,gad,1,1.0067857358596944e-05
<s>,<s>,gave,3,3.020357207579083e-05
<s>,<s>,gentlemen,2,2.013571471719389e-05
<s>,<s>,george,1,1.0067857358596944e-05
<s>,<s>,georges,1,1.0067857358596944e-05
<s>,<s>,georgette,7,7.04750015101786e-05
<s>,<s>,get,15,0.00015101786037895415
<s>,<s>,give,4,4.027142943438778e-05
<s>,<s>,globos,2,2.013571471719389e-05
<s>,<s>,go,29,0.0002919678633993114
<s>,<s>,god,4,4.027142943438778e-05
<s>,<s>,goddam,1,1.0067857358596944e-05
<s>,<s>,going,10,0.00010067857358596944
<s>,<s>,good,45,0.00045305358113686246
<s>,<s>,got,3,3.020357207579083e-05
<s>,<s>,gradually,1,1.0067857358596944e-05
<s>,<s>,grand,3,3.020357207579083e-05
<s>,<s>,great,2,2.013571471719389e-05
<s>,<s>,greek,1,1.0067857358596944e-05
<s>,<s>,guess,1,1.0067857358596944e-05
<s>,<s>,h,1,1.0067857358596944e-05
<s>,<s>,had,3,3.020357207579083e-05
<s>,<s>,hadnt,1,1.0067857358596944e-05
<s>,<s>,hah,2,2.013571471719389e-05
<s>,<s>,hahre,1,1.0067857358596944e-05
<s>,<s>,half,1,1.0067857358596944e-05
<s>,<s>,hampers,1,1.0067857358596944e-05
<s>,<s>,handkerchiefs,1,1.0067857358596944e-05
<s>,<s>,happy,1,1.0067857358596944e-05
<s>,<s>,hardly,1,1.0067857358596944e-05
<s>,<s>,harris,9,9.06107162273725e-05
<s>,<s>,harvey,3,3.020357207579083e-05
<s>,<s>,has,1,1.0067857358596944e-05
<s>,<s>,hasnt,2,2.013571471719389e-05
<s>,<s>,have,25,0.0002516964339649236
<s>,<s>,havent,8,8.054285886877555e-05
<s>,<s>,having,1,1.0067857358596944e-05
<s>,<s>,he,467,0.004701689386464773
<s>,<s>,heard,1,1.0067857358596944e-05
<s>,<s>,hed,3,3.020357207579083e-05
<s>,<s>,hel,3,3.020357207579083e-05
<s>,<s>,hell,5,5.033928679298472e-05
<s>,<s>,hello,24,0.00024162857660632665
<s>,<s>,hendaye,1,1.0067857358596944e-05
<s>,<s>,her,14,0.0001409500030203572
<s>,<s>,here,18,0.000181221432454745
<s>,<s>,heres,7,7.04750015101786e-05
<s>,<s>,hes,77,0.0007752250166119647
<s>,<s>,hey,4,4.027142943438778e-05
<s>,<s>,himself,1,1.0067857358596944e-05
<s>,<s>,his,31,0.00031210357811650523
<s>,<s>,hope,2,2.013571471719389e-05
<s>,<s>,hot,1,1.0067857358596944e-05
<s>,<s>,hotel,1,1.0067857358596944e-05
<s>,<s>,how,65,0.0006544107283088013
<s>,<s>,howd,3,3.020357207579083e-05
<s>,<s>,hows,5,5.033928679298472e-05
<s>,<s>,hudson,1,1.0067857358596944e-05
<s>,<s>,huh,1,1.0067857358596944e-05
<s>,<s>,hullo,2,2.013571471719389e-05
<s>,<s>,hurray,2,2.013571471719389e-05
<s>,<s>,i,1040,0.010470571652940821
<s>,<s>,id,21,0.0002114250045305358
<s>,<s>,if,22,0.00022149286188913276
<s>,<s>,ill,50,0.0005033928679298472
<s>,<s>,im,121,0.0012182107403902302
<s>,<s>,in,55,0.0005537321547228319
<s>,<s>,including,1,1.0067857358596944e-05
<s>,<s>,indeed,1,1.0067857358596944e-05
<s>,<s>,injustice,1,1.0067857358596944e-05
<s>,<s>,inside,9,9.06107162273725e-05
<s>,<s>,instead,1,1.0067857358596944e-05
<s>,<s>,interesting,1,1.0067857358596944e-05
<s>,<s>,internally,1,1.0067857358596944e-05
<s>,<s>,introduce,1,1.0067857358596944e-05
<s>,<s>,is,24,0.00024162857660632665
<s>,<s>,isnt,19,0.00019128928981334192
<s>,<s>,iss,1,1.0067857358596944e-05
<s>,<s>,it,269,0.002708253629462578
<s>,<s>,itd,1,1.0067857358596944e-05
<s>,<s>,its,107,0.0010772607373698729
<s>,<s>,ive,56,0.0005638000120814288
<s>,<s>,jacob,2,2.013571471719389e-05
<s>,<s>,jake,7,7.04750015101786e-05
<s>,<s>,jakes,1,1.0067857358596944e-05
<s>,<s>,jerez,1,1.0067857358596944e-05
<s>,<s>,joke,1,1.0067857358596944e-05
<s>,<s>,jolly,1,1.0067857358596944e-05
<s>,<s>,just,30,0.0003020357207579083
<s>,<s>,kansas,2,2.013571471719389e-05
<s>,<s>,kept,1,1.0067857358596944e-05
<s>,<s>,kiss,1,1.0067857358596944e-05
<s>,<s>,knocked,1,1.0067857358596944e-05
<s>,<s>,know,1,1.0067857358596944e-05
<s>,<s>,knows,1,1.0067857358596944e-05
<s>,<s>,krum,1,1.0067857358596944e-05
<s>,<s>,l,1,1.0067857358596944e-05
<s>,<s>,la,1,1.0067857358596944e-05
<s>,<s>,lady,3,3.020357207579083e-05
<s>,<s>,last,5,5.033928679298472e-05
<s>,<s>,lasted,1,1.0067857358596944e-05
<s>,<s>,late,1,1.0067857358596944e-05
<s>,<s>,later,4,4.027142943438778e-05
<s>,<s>,lavignes,1,1.0067857358596944e-05
<s>,<s>,lazare,1,1.0067857358596944e-05
<s>,<s>,le,1,1.0067857358596944e-05
<s>,<s>,leave,1,1.0067857358596944e-05
<s>,<s>,leaving,1,1.0067857358596944e-05
<s>,<s>,ledoux,1,1.0067857358596944e-05
<s>,<s>,let,21,0.0002114250045305358
<s>,<s>,lets,50,0.0005033928679298472
<s>,<s>,letter,2,2.013571471719389e-05
<s>,<s>,lie,1,1.0067857358596944e-05
<s>,<s>,life,1,1.0067857358596944e-05
<s>,<s>,lift,2,2.013571471719389e-05
<s>,<s>,like,10,0.00010067857358596944
<s>,<s>,limpia,1,1.0067857358596944e-05
<s>,<s>,lincoln,1,1.0067857358596944e-05
<s>,<s>,linked,1,1.0067857358596944e-05
<s>,<s>,listen,11,0.00011074643094456638
<s>,<s>,little,1,1.0067857358596944e-05
<s>,<s>,live,1,1.0067857358596944e-05
<s>,<s>,lives,1,1.0067857358596944e-05
<s>,<s>,loaned,1,1.0067857358596944e-05
<s>,<s>,look,22,0.00022149286188913276
<s>,<s>,looked,1,1.0067857358596944e-05
<s>,<s>,looking,2,2.013571471719389e-05
<s>,<s>,lord,1,1.0067857358596944e-05
<s>,<s>,lot,1,1.0067857358596944e-05
<s>,<s>,louis,1,1.0067857358596944e-05
<s>,<s>,love,3,3.020357207579083e-05
<s>,<s>,low,1,1.0067857358596944e-05
<s>,<s>,lucky,1,1.0067857358596944e-05
<s>,<s>,m,1,1.0067857358596944e-05
<s>,<s>,mademoiselle,1,1.0067857358596944e-05
<s>,<s>,make,5,5.033928679298472e-05
<s>,<s>,makes,3,3.020357207579083e-05
<s>,<s>,making,1,1.0067857358596944e-05
<s>,<s>,many,1,1.0067857358596944e-05
<s>,<s>,marcial,6,6.040714415158166e-05
<s>,<s>,mark,1,1.0067857358596944e-05
<s>,<s>,married,1,1.0067857358596944e-05
<s>,<s>,mason,1,1.0067857358596944e-05
<s>,<s>,maybe,8,8.054285886877555e-05
<s>,<s>,me,3,3.020357207579083e-05
<s>,<s>,mean,1,1.0067857358596944e-05
<s>,<s>,medals,1,1.0067857358596944e-05
<s>,<s>,men,3,3.020357207579083e-05
<s>,<s>,mencken,1,1.0067857358596944e-05
<s>,<s>,met,1,1.0067857358596944e-05
<s>,<s>,michael,6,6.040714415158166e-05
<s>,<s>,michaels,4,4.027142943438778e-05
<s>,<s>,michel,3,3.020357207579083e-05
<s>,<s>,might,3,3.020357207579083e-05
<s>,<s>,mighty,1,1.0067857358596944e-05
<s>,<s>,mike,52,0.0005235285826470411
<s>,<s>,mind,1,1.0067857358596944e-05
<s>,<s>,moisture,1,1.0067857358596944e-05
<s>,<s>,monday,1,1.0067857358596944e-05
<s>,<s>,money,2,2.013571471719389e-05
<s>,<s>,monte,1,1.0067857358596944e-05
<s>,<s>,montoya,19,0.00019128928981334192
<s>,<s>,most,1,1.0067857358596944e-05
<s>,<s>,mother,1,1.0067857358596944e-05
<s>,<s>,mothers,1,1.0067857358596944e-05
<s>,<s>,mr,9,9.06107162273725e-05
<s>,<s>,mrs,5,5.033928679298472e-05
<s>,<s>,muerto,2,2.013571471719389e-05
<s>,<s>,mumms,1,1.0067857358596944e-05
<s>,<s>,mummy,1,1.0067857358596944e-05
<s>,<s>,music,1,1.0067857358596944e-05
<s>,<s>,must,3,3.020357207579083e-05
<s>,<s>,muy,3,3.020357207579083e-05
<s>,<s>,my,26,0.00026176429132352053
<s>,<s>,nada,1,1.0067857358596944e-05
<s>,<s>,named,1,1.0067857358596944e-05
<s>,<s>,neither,1,1.0067857358596944e-05
<s>,<s>,never,13,0.00013088214566176027
<s>,<s>,nevertheless,1,1.0067857358596944e-05
<s>,<s>,new,1,1.0067857358596944e-05
<s>,<s>,next,1,1.0067857358596944e-05
<s>,<s>,nice,2,2.013571471719389e-05
<s>,<s>,nigger,2,2.013571471719389e-05
<s>,<s>,niggerd,1,1.0067857358596944e-05
<s>,<s>,nineteen,1,1.0067857358596944e-05
<s>,<s>,ninth,1,1.0067857358596944e-05
<s>,<s>,nix,1,1.0067857358596944e-05
<s>,<s>,no,137,0.0013792964581277813
<s>,<s>,nobody,7,7.04750015101786e-05
<s>,<s>,none,2,2.013571471719389e-05
<s>,<s>,nope,1,1.0067857358596944e-05
<s>,<s>,nor,1,1.0067857358596944e-05
<s>,<s>,not,37,0.0003725107222680869
<s>,<s>,nothing,13,0.00013088214566176027
<s>,<s>,now,22,0.00022149286188913276
<s>,<s>,nurses,1,1.0067857358596944e-05
<s>,<s>,of,14,0.0001409500030203572
<s>,<s>,off,2,2.013571471719389e-05
<s>,<s>,offered,2,2.013571471719389e-05
<s>,<s>,oh,117,0.0011779393109558425
<s>,<s>,old,4,4.027142943438778e-05
<s>,<s>,on,13,0.00013088214566176027
<s>,<s>,once,2,2.013571471719389e-05
<s>,<s>,one,34,0.0003423071501922961
<s>,<s>,ones,1,1.0067857358596944e-05
<s>,<s>,only,5,5.033928679298472e-05
<s>,<s>,or,10,0.00010067857358596944
<s>,<s>,ordinarily,1,1.0067857358596944e-05
<s>,<s>,others,1,1.0067857358596944e-05
<s>,<s>,ought,1,1.0067857358596944e-05
<s>,<s>,our,3,3.020357207579083e-05
<s>,<s>,out,7,7.04750015101786e-05
<s>,<s>,outside,21,0.0002114250045305358
<s>,<s>,over,1,1.0067857358596944e-05
<s>,<s>,owns,1,1.0067857358596944e-05
<s>,<s>,paris,2,2.013571471719389e-05
<s>,<s>,pedro,9,9.06107162273725e-05
<s>,<s>,people,10,0.00010067857358596944
<s>,<s>,perfectly,1,1.0067857358596944e-05
<s>,<s>,perhaps,8,8.054285886877555e-05
<s>,<s>,pernod,2,2.013571471719389e-05
<s>,<s>,photographs,1,1.0067857358596944e-05
<s>,<s>,pick,2,2.013571471719389e-05
<s>,<s>,pilgrims,1,1.0067857358596944e-05
<s>,<s>,pipe,3,3.020357207579083e-05
<s>,<s>,playing,1,1.0067857358596944e-05
<s>,<s>,please,11,0.00011074643094456638
<s>,<s>,poor,7,7.04750015101786e-05
<s>,<s>,por,1,1.0067857358596944e-05
<s>,<s>,possible,1,1.0067857358596944e-05
<s>,<s>,possibly,1,1.0067857358596944e-05
<s>,<s>,practical,1,1.0067857358596944e-05
<s>,<s>,pretty,4,4.027142943438778e-05
<s>,<s>,probably,7,7.04750015101786e-05
<s>,<s>,promoter,1,1.0067857358596944e-05
<s>,<s>,put,3,3.020357207579083e-05
<s>,<s>,quite,5,5.033928679298472e-05
<s>,<s>,rafael,1,1.0067857358596944e-05
<s>,<s>,rather,6,6.040714415158166e-05
<s>,<s>,really,12,0.00012081428830316332
<s>,<s>,remarkable,1,1.0067857358596944e-05
<s>,<s>,remember,8,8.054285886877555e-05
<s>,<s>,right,8,8.054285886877555e-05
<s>,<s>,ring,1,1.0067857358596944e-05
<s>,<s>,road,1,1.0067857358596944e-05
<s>,<s>,robert,26,0.00026176429132352053
<s>,<s>,roberts,1,1.0067857358596944e-05
<s>,<s>,rockets,1,1.0067857358596944e-05
<s>,<s>,romero,30,0.0003020357207579083
<s>,<s>,romeros,4,4.027142943438778e-05
<s>,<s>,rotten,3,3.020357207579083e-05
<s>,<s>,said,11,0.00011074643094456638
<s>,<s>,san,3,3.020357207579083e-05
<s>,<s>,saturday,1,1.0067857358596944e-05
<s>,<s>,save,1,1.0067857358596944e-05
<s>,<s>,say,12,0.00012081428830316332
<s>,<s>,says,1,1.0067857358596944e-05
<s>,<s>,secret,1,1.0067857358596944e-05
<s>,<s>,see,14,0.0001409500030203572
<s>,<s>,seemed,1,1.0067857358596944e-05
<s>,<s>,seemingly,1,1.0067857358596944e-05
<s>,<s>,seems,2,2.013571471719389e-05
<s>,<s>,seen,1,1.0067857358596944e-05
<s>,<s>,sell,1,1.0067857358596944e-05
<s>,<s>,send,4,4.027142943438778e-05
<s>,<s>,senlis,1,1.0067857358596944e-05
<s>,<s>,sent,2,2.013571471719389e-05
<s>,<s>,set,1,1.0067857358596944e-05
<s>,<s>,settled,1,1.0067857358596944e-05
<s>,<s>,several,4,4.027142943438778e-05
<s>,<s>,sex,1,1.0067857358596944e-05
<s>,<s>,shaking,1,1.0067857358596944e-05
<s>,<s>,she,152,0.0015303143185067354
<s>,<s>,shed,1,1.0067857358596944e-05
<s>,<s>,shell,2,2.013571471719389e-05
<s>,<s>,sherry,1,1.0067857358596944e-05
<s>,<s>,shes,20,0.00020135714717193888
<s>,<s>,shoot,1,1.0067857358596944e-05
<s>,<s>,should,5,5.033928679298472e-05
<s>,<s>,show,1,1.0067857358596944e-05
<s>,<s>,showed,1,1.0067857358596944e-05
<s>,<s>,shrimps,1,1.0067857358596944e-05
<s>,<s>,shut,5,5.033928679298472e-05
<s>,<s>,si,1,1.0067857358596944e-05
<s>,<s>,sight,1,1.0067857358596944e-05
<s>,<s>,silly,1,1.0067857358596944e-05
