,Sentence,sentiment,CompScore,PosScore,NegScore,NeuScore,PosFlag,NegFlag,NeuFlag
13,"He had married on the rebound from the rotten time he had in college, and Frances took him on the rebound from his discovery that he had not been everything to his first wife.",-0.5106,-0.5106,0.0,0.091,0.909,0,1,0
14,"He was not in love yet but he realized that he was an attractive quantity to women, and that the fact of a woman caring for him and wanting to live with him was not simply a divine miracle.",-0.2565,-0.2565,0.162,0.202,0.636,0,1,0
15,This changed him so that he was not so pleasant to have around.,-0.5265,-0.5265,0.0,0.221,0.779,0,1,0
16,"It made him rather vain of his bridge game, and he talked several times of how a man could always make a living at bridge if he were ever forced to.",-0.7003,-0.7003,0.0,0.177,0.823,0,1,0
17,"That sounds like an innocent occupation, but Cohn had read and reread “The Purple Land.” “The Purple Land” is a very sinister book if read too late in life.",-0.653,-0.653,0.101,0.169,0.73,0,1,0
18,He had it badly.,-0.4767,-0.4767,0.0,0.508,0.492,0,1,0
19,“I can’t stand it to think my life is going so fast and I’m not really living it.” “Nobody ever lives their life all the way up except bull-fighters.” “I’m not interested in bull-fighters.,-0.3089,-0.3089,0.0,0.064,0.936,0,1,0
20,“Don’t you ever get the feeling that all your life is going by and you’re not taking advantage of it?,-0.0618,-0.0618,0.071,0.082,0.847,0,1,0
21,"Do you realize you’ve lived nearly half the time you have to live already?” “Yes, every once in a while.” “Do you know that in about thirty-five years more we’ll be dead?” “What the hell, Robert,” I said.",-0.7149,-0.7149,0.0,0.124,0.876,0,1,0
22,"“What the hell.” “I’m serious.” “It’s one thing I don’t worry about,” I said.",-0.4404,-0.4404,0.0,0.209,0.791,0,1,0
23,“You ought to.” “I’ve had plenty to worry about one time or other.,-0.4404,-0.4404,0.0,0.195,0.805,0,1,0
24,There’s nothing to that.” “But you’ve never been to South America.” “South America hell!,-0.7088,-0.7088,0.0,0.273,0.727,0,1,0
25,"Why don’t you start living your life in Paris?” “I’m sick of Paris, and I’m sick of the Quarter.” “Stay away from the Quarter.",-0.765,-0.765,0.0,0.231,0.769,0,1,0
26,"I was sorry for him, but it was not a thing you could do anything about, because right away you ran up against the two stubbornnesses: South America could fix it and he did not like Paris.",-0.724,-0.724,0.0,0.181,0.819,0,1,0
27,"“Well,” I said, “I’ve got to go up-stairs and get off some cables.” “Do you really have to go?” “Yes, I’ve got to get these cables off.” “Do you mind if I come up and sit around the office?” “No, come on up.” He sat in the outer room and read the papers, and the Editor and Publisher and I worked hard for two hours.",-0.1926,-0.1926,0.0,0.028,0.972,0,1,0
28,"I did not like to wake him up, but I wanted to lock the office and shove off.",-0.1419,-0.1419,0.0,0.094,0.906,0,1,0
29,He shook his head.,-0.1027,-0.1027,0.0,0.318,0.682,0,1,0
30,"Nothing will make me do it.” “Robert,” I said, and shook him by the shoulder.",-0.1027,-0.1027,0.0,0.097,0.903,0,1,0
31,"But it wasn’t clear.” “God, what a rotten dream!” “Did the typewriter put you to sleep?” “Guess so.",-0.6948,-0.6948,0.0,0.229,0.771,0,1,0
32,I have a rotten habit of picturing the bedroom scenes of my friends.,-0.0516,-0.0516,0.201,0.214,0.584,0,1,0
33,"I watched a good-looking girl walk past the table and watched her go up the street and lost sight of her, and watched another, and then saw the first one coming back again.",-0.3182,-0.3182,0.0,0.071,0.929,0,1,0
34,“Pernod.” “That’s not good for little girls.” “Little girl yourself.,-0.3412,-0.3412,0.0,0.211,0.789,0,1,0
35,"We sat and drank it, and the girl looked sullen.",-0.4019,-0.4019,0.0,0.231,0.769,0,1,0
36,"“Well,” I said, “are you going to buy me a dinner?” She grinned and I saw why she made a point of not laughing.",-0.1351,-0.1351,0.092,0.116,0.792,0,1,0
37,You sick?” “Yes.” “Everybody’s sick.,-0.5106,-0.5106,0.0,0.452,0.548,0,1,0
38,"I’m sick, too.” We came out of the Tuileries into the light and crossed the Seine and then turned up the Rue des Saints Pères.",-0.5106,-0.5106,0.0,0.121,0.879,0,1,0
39,I called to the _cocher_ to stop.,-0.296,-0.296,0.0,0.306,0.694,0,1,0
40,We got out and Georgette did not like the looks of the place.,-0.2755,-0.2755,0.0,0.15,0.85,0,1,0
41,"It was a long time since I had dined with a _poule_, and I had forgotten how dull it could be.",-0.5574,-0.5574,0.0,0.235,0.765,0,1,0
42,"“It isn’t bad here,” she said.",-0.5423,-0.5423,0.0,0.412,0.588,0,1,0
43,“It’s a shame you’re sick.,-0.7506,-0.7506,0.0,0.762,0.238,0,1,0
44,"What’s the matter with you, anyway?” “I got hurt in the war,” I said.",-0.5106,-0.5106,0.071,0.219,0.71,0,1,0
45,"“Oh, that dirty war.” We would probably have gone on and discussed the war and agreed that it was in reality a calamity for civilization, and perhaps would have been better avoided.",-0.6369,-0.6369,0.124,0.229,0.647,0,1,0
46,I was bored enough.,-0.2732,-0.2732,0.0,0.512,0.488,0,1,0
47,One of the cleanest cities in all Europe.” “I find it dirty.” “How strange!,-0.2714,-0.2714,0.0,0.139,0.861,0,1,0
48,"When we arrived it was quite empty, except for a policeman sitting near the door, the wife of the proprietor back of the zinc bar, and the proprietor himself.",-0.2716,-0.2716,0.0,0.072,0.928,0,1,0
49,They both stopped in front of the Bal.,-0.2263,-0.2263,0.0,0.213,0.787,0,1,0
50,"As they went in, under the light I saw white hands, wavy hair, white faces, grimacing, gesturing, talking.",-0.34,-0.34,0.0,0.13,0.87,0,1,0
51,"You watch me.” The tall dark one, called Lett, said: “Don’t you be rash.” The wavy blond one answered: “Don’t you worry, dear.” And with them was Brett.",-0.4404,-0.4404,0.0,0.097,0.903,0,1,0
52,I was very angry.,-0.5563,-0.5563,0.0,0.642,0.358,0,1,0
53,Somehow they always made me angry.,-0.5106,-0.5106,0.0,0.398,0.602,0,1,0
54,The beer was not good and I had a worse cognac to take the taste out of my mouth.,-0.6711,-0.6711,0.0,0.269,0.731,0,1,0
55,As soon as the music stopped another one of them asked her to dance.,-0.2263,-0.2263,0.0,0.128,0.872,0,1,0
56,“Yes.” “Do you find Paris amusing?” “Yes.” “Really?” I was a little drunk.,-0.3542,-0.3542,0.0,0.198,0.802,0,1,0
57,Not drunk in any positive sense but just enough to be careless.,-0.1109,-0.1109,0.238,0.202,0.56,0,1,0
58,This whole show makes me sick is all.” Brett came up to the bar.,-0.5106,-0.5106,0.0,0.202,0.798,0,1,0
59,Brett was damned good-looking.,-0.3818,-0.3818,0.0,0.464,0.536,0,1,0
60,"“It’s wrong of you, Jake.",-0.4767,-0.4767,0.0,0.437,0.563,0,1,0
61,It’s an insult to all of us.,-0.5106,-0.5106,0.0,0.355,0.645,0,1,0
62,"“You’ve a hell of a biblical name, Jake.” “How about the next?” asked Cohn.",-0.6808,-0.6808,0.0,0.295,0.705,0,1,0
63,Poor chap.,-0.4767,-0.4767,0.0,0.756,0.244,0,1,0
64,"“What possessed you to bring her?” “I don’t know, I just brought her.” “You’re getting damned romantic.” “No, bored.” “Now?” “No, not now.” “Let’s get out of here.",-0.4515,-0.4515,0.0,0.102,0.898,0,1,0
65,I stopped at the bar and asked them for an envelope.,-0.2263,-0.2263,0.0,0.174,0.826,0,1,0
66,"“You’re going to lose your fifty francs,” Brett said.",-0.4019,-0.4019,0.0,0.252,0.748,0,1,0
67,The cab started with a jerk.,-0.34,-0.34,0.0,0.375,0.625,0,1,0
68,The street was torn up and men were working on the car-tracks by the light of acetylene flares.,-0.25,-0.25,0.0,0.105,0.895,0,1,0
69,They would look on and on after every one else’s eyes in the world would have stopped looking.,-0.2263,-0.2263,0.0,0.101,0.899,0,1,0
70,"She looked as though there were nothing on earth she would not look at like that, and really she was afraid of so many things.",-0.2755,-0.2755,0.0,0.081,0.919,0,1,0
71,"It isn’t all that you know.” “No, but it always gets to be.” “That’s my fault.",-0.5499,-0.5499,0.0,0.191,0.809,0,1,0
72,"Don’t we pay for all the things we do, though?” She had been looking into my eyes all the time.",-0.1027,-0.1027,0.0,0.069,0.931,0,1,0
73,“When I think of the hell I’ve put chaps through.,-0.6808,-0.6808,0.0,0.365,0.635,0,1,0
74,"I never think about it.” “Oh, no.",-0.296,-0.296,0.0,0.306,0.694,0,1,0
75,It seemed like a hell of a joke.,-0.2263,-0.2263,0.382,0.374,0.244,0,1,0
76,“I think it’s hell on earth.” “It’s good to see each other.” “No.,-0.4019,-0.4019,0.157,0.249,0.595,0,1,0
77,"On the Boulevard Raspail, with the lights of Montparnasse in sight, Brett said: “Would you mind very much if I asked you to do something?” “Don’t be silly.” “Kiss me just once more before we get there.” When the taxi stopped I got out and paid.",-0.2263,-0.2263,0.0,0.042,0.958,0,1,0
78,That girl of yours got in a frightful row.” “What about?” “Something the patronne’s daughter said.,-0.5106,-0.5106,0.0,0.191,0.809,0,1,0
79,Showed her yellow card and demanded the patronne’s daughter’s too.,-0.2263,-0.2263,0.0,0.174,0.826,0,1,0
80,"“I’ve got a rotten headache.” “I’ll see you to-morrow?” “Come in at the office.” “Hardly.” “Well, where will I see you?” “Anywhere around five o’clock.” “Make it the other side of town then.” “Good.",-0.5661,-0.5661,0.0,0.106,0.894,0,1,0
81,"I stopped and read the inscription: from the Bonapartist Groups, some date; I forget.",-0.4215,-0.4215,0.0,0.275,0.725,0,1,0
82,To hell with Brett.,-0.6808,-0.6808,0.0,0.605,0.395,0,1,0
83,"To hell with you, Lady Ashley.",-0.6808,-0.6808,0.0,0.479,0.521,0,1,0
84,They were noisy at night when you could not sleep.,-0.1779,-0.1779,0.0,0.159,0.841,0,1,0
85,The old grievance.,-0.4767,-0.4767,0.0,0.608,0.392,0,1,0
86,He never laughed.,-0.357,-0.357,0.0,0.554,0.446,0,1,0
87,Probably I never would have had any trouble if I hadn’t run into Brett when they shipped me to England.,-0.4019,-0.4019,0.0,0.137,0.863,0,1,0
88,To hell with people.,-0.6808,-0.6808,0.0,0.605,0.395,0,1,0
89,I was thinking about Brett and my mind stopped jumping around and started to go in sort of smooth waves.,-0.2263,-0.2263,0.0,0.095,0.905,0,1,0
90,Then all of a sudden I started to cry.,-0.4767,-0.4767,0.0,0.341,0.659,0,1,0
91,She was very angry.,-0.5563,-0.5563,0.0,0.545,0.455,0,1,0
92,What kind of a dirty business at this time of night!,-0.54,-0.54,0.0,0.279,0.721,0,1,0
93,I saw she was quite drunk.,-0.4005,-0.4005,0.0,0.402,0.598,0,1,0
94,“Make an awful row.,-0.4588,-0.4588,0.0,0.5,0.5,0,1,0
95,"“Had no idea what hour it was,” Brett said.",-0.296,-0.296,0.0,0.216,0.784,0,1,0
96,“Don’t try and make me drunk.,-0.34,-0.34,0.0,0.324,0.676,0,1,0
97,No doubt.,-0.5719,-0.5719,0.0,1.0,0.0,0,1,0
98,Rotten painter.,-0.5106,-0.5106,0.0,0.767,0.233,0,1,0
99,Damned silly idea.,-0.3612,-0.3612,0.234,0.553,0.213,0,1,0
100,On the table was an empty glass and a glass half-full of brandy and soda.,-0.2023,-0.2023,0.0,0.122,0.878,0,1,0
101,"This was Brett, that I had felt like crying about.",-0.1531,-0.1531,0.198,0.246,0.556,0,1,0
102,"Then I thought of her walking up the street and stepping into the car, as I had last seen her, and of course in a little while I felt like hell again.",-0.5209,-0.5209,0.068,0.14,0.792,0,1,0
103,I stepped aside to avoid walking into the thread with which his girl assistant manipulated the boxers.,-0.5859,-0.5859,0.0,0.255,0.745,0,1,0
104,Three more tourists had stopped and were watching.,-0.2878,-0.2878,0.0,0.236,0.764,0,1,0
105,There was no news.,-0.296,-0.296,0.0,0.423,0.577,0,1,0
106,"I’ve tried to get away, but Sundays it’s always rained, and the courts are so damned crowded.” “The Englishmen all have Saturday off,” Woolsey said.",-0.6756,-0.6756,0.0,0.159,0.841,0,1,0
107,The chauffeur stopped.,-0.2263,-0.2263,0.0,0.487,0.513,0,1,0
108,Woolsey shook his head.,-0.1027,-0.1027,0.0,0.318,0.682,0,1,0
109,"“You’re crazy, Jake,” he said.",-0.34,-0.34,0.0,0.375,0.625,0,1,0
110,He’s going to be rich as hell some day.” “I don’t believe she’ll ever marry him.” “Why not?” “I don’t know.,-0.25,-0.25,0.132,0.169,0.699,0,1,0
111,“She was a V. A. D. in a hospital I was in during the war.” “She must have been just a kid then.” “She’s thirty-four now.” “When did she marry Ashley?” “During the war.,-0.5994,-0.5994,0.0,0.119,0.881,0,1,0
112,"“She’s done it twice.” “I don’t believe it.” “Well,” I said, “don’t ask me a lot of fool questions if you don’t like the answers.” “I didn’t ask you that.” “You asked me what I knew about Brett Ashley.” “I didn’t ask you to insult her.” “Oh, go to hell.” He stood up from the table his face white, and stood there white and angry behind the little plates of hors d’œuvres.",-0.7906,-0.7906,0.032,0.123,0.844,0,1,0
113,"“Don’t be a fool.” “You’ve got to take that back.” “Oh, cut out the prep-school stuff.” “Take it back.” “Sure.",-0.2732,-0.2732,0.0,0.104,0.896,0,1,0
114,What the hell would he have done if he hadn’t sat down?,-0.6808,-0.6808,0.0,0.295,0.705,0,1,0
115,"“You say such damned insulting things, Jake.” “I’m sorry.",-0.7269,-0.7269,0.0,0.542,0.458,0,1,0
116,I’ve got a nasty tongue.,-0.5574,-0.5574,0.0,0.545,0.455,0,1,0
117,"I never mean it when I say nasty things.” “I know it,” Cohn said.",-0.5574,-0.5574,0.0,0.247,0.753,0,1,0
118,I was just sore for a minute.” “Good.,-0.3612,-0.3612,0.0,0.333,0.667,0,1,0
119,"Crossing the Seine I saw a string of barges being towed empty down the current, riding high, the bargemen at the sweeps as they came toward the bridge.",-0.2023,-0.2023,0.0,0.067,0.933,0,1,0
120,The Boulevard Raspail always made dull riding.,-0.4019,-0.4019,0.0,0.31,0.69,0,1,0
121,It was like a certain stretch on the P. L. M. between Fontainebleau and Montereau that always made me feel bored and dead and dull until it was over.,-0.6705,-0.6705,0.125,0.248,0.627,0,1,0
122,I suppose it is some association of ideas that makes those dead places in a journey.,-0.6486,-0.6486,0.0,0.249,0.751,0,1,0
123,There are other streets in Paris as ugly as the Boulevard Raspail.,-0.5106,-0.5106,0.0,0.231,0.769,0,1,0
124,"Mencken hates Paris, I believe.",-0.4404,-0.4404,0.0,0.492,0.508,0,1,0
125,The taxi stopped in front of the Rotonde.,-0.2263,-0.2263,0.0,0.213,0.787,0,1,0
126,"No matter what café in Montparnasse you ask a taxi-driver to bring you to from the right bank of the river, they always take you to the Rotonde.",-0.2732,-0.2732,0.039,0.078,0.883,0,1,0
127,I walked past the sad tables of the Rotonde to the Select.,-0.4767,-0.4767,0.0,0.237,0.763,0,1,0
128,"There were a few people inside at the bar, and outside, alone, sat Harvey Stone.",-0.25,-0.25,0.0,0.133,0.867,0,1,0
129,"“I tell you it’s strange, Jake.",-0.2023,-0.2023,0.0,0.265,0.735,0,1,0
130,Let’s go and eat.” “There’s no hurry.,-0.296,-0.296,0.0,0.268,0.732,0,1,0
131,"‘The trouble is,’ he said, ‘he’s a garter snapper.’ That’s not bad.” “That’s not bad.” “He’s through now,” Harvey went on.",-0.4019,-0.4019,0.0,0.124,0.876,0,1,0
132,"No matter how silly it is.” “I don’t know,” Cohn said.",-0.25,-0.25,0.177,0.177,0.645,0,1,0
133,That’s where you make your big mistake.,-0.34,-0.34,0.0,0.286,0.714,0,1,0
134,"You don’t want to get sore at him.” “I know it,” Cohn said.",-0.296,-0.296,0.088,0.169,0.743,0,1,0
135,"He wore what used to be called polo shirts at school, and may be called that still, but he was not professionally youthful.",-0.3491,-0.3491,0.0,0.1,0.9,0,1,0
136,People beat him who had never had a chance with him.,-0.1877,-0.1877,0.0,0.162,0.838,0,1,0
137,"No one keeps theirs, nowadays.",-0.296,-0.296,0.0,0.355,0.645,0,1,0
138,It’s so childish.,-0.3597,-0.3597,0.0,0.555,0.445,0,1,0
139,"We have dreadful scenes, and he cries and begs me to be reasonable, but he says he just can’t do it.” “It’s rotten luck.” “I should say it is rotten luck.",-0.8271,-0.8271,0.094,0.297,0.609,0,1,0
140,I’ve wasted two years and a half on him now.,-0.4939,-0.4939,0.0,0.286,0.714,0,1,0
141,All the old ones that wanted to marry somebody chic and settle down were crazy about me.,-0.0772,-0.0772,0.108,0.123,0.769,0,1,0
142,"“I never liked children much, but I don’t want to think I’ll never have them.",-0.0557,-0.0557,0.096,0.11,0.794,0,1,0
143,"It isn’t bad, either.",-0.5423,-0.5423,0.0,0.538,0.462,0,1,0
144,"It’s my own fault and it’s not, too.",-0.4019,-0.4019,0.0,0.278,0.722,0,1,0
145,And when I tell him he just cries and says he can’t marry.,-0.4019,-0.4019,0.0,0.197,0.803,0,1,0
146,I leave him alone.,-0.296,-0.296,0.0,0.762,0.238,0,1,0
147,"It doesn’t do any good.” “It’s a rotten shame.” “Yes, it is a rotten shame.",-0.8658,-0.8658,0.0,0.492,0.508,0,1,0
148,"But there’s no use talking about it, is there?",-0.4215,-0.4215,0.0,0.259,0.741,0,1,0
149,He was not smiling now.,-0.357,-0.357,0.0,0.383,0.617,0,1,0
150,"Aren’t you, Robert?” I do not know how people could say such terrible things to Robert Cohn.",-0.4767,-0.4767,0.0,0.171,0.829,0,1,0
151,"They give you a feeling that the world would be destroyed, would actually be destroyed before your eyes, if you said certain things.",-0.5859,-0.5859,0.129,0.229,0.643,0,1,0
152,"Here it was, all going on right before me, and I did not even feel an impulse to try and stop it.",-0.296,-0.296,0.0,0.099,0.901,0,1,0
153,"“How can you say such things, Frances?” Cohn interrupted.",-0.296,-0.296,0.0,0.216,0.784,0,1,0
154,She put all her money into French war bonds.,-0.5994,-0.5994,0.0,0.328,0.672,0,1,0
155,"Poor Frances has had a most unfortunate experience.’ Won’t it be fun, Robert?",-0.4754,-0.4754,0.177,0.342,0.481,0,1,0
156,"It’s my own fault, all right.",-0.4019,-0.4019,0.0,0.351,0.649,0,1,0
157,"So I made him get rid of her, and he had brought her to Provincetown from Carmel when he moved the magazine, and he didn’t even pay her fare back to the coast.",-0.1027,-0.1027,0.0,0.043,0.957,0,1,0
158,"“You mustn’t misunderstand, Jake, it was absolutely platonic with the secretary.",-0.3612,-0.3612,0.0,0.2,0.8,0,1,0
159,I know it’s awfully hard.,-0.1761,-0.1761,0.0,0.361,0.639,0,1,0
160,He just died a little while ago.,-0.5574,-0.5574,0.0,0.419,0.581,0,1,0
161,"I wonder if he cried, too?",-0.3818,-0.3818,0.0,0.394,0.606,0,1,0
162,I told the barman I did not want anything to drink and went out through the side door.,-0.0572,-0.0572,0.0,0.075,0.925,0,1,0
163,"CHAPTER                                    7  As I started up the stairs the concierge knocked on the glass of the door of her lodge, and as I stopped she came out.",-0.2263,-0.2263,0.0,0.076,0.924,0,1,0
164,And there was a lady here to see you.” “Did she leave a card?” “No.,-0.0516,-0.0516,0.0,0.091,0.909,0,1,0
165,"The only trouble was that people who did not fall into any of those three categories were very liable to be told there was no one home, chez Barnes.",-0.5994,-0.5994,0.0,0.154,0.846,0,1,0
166,"I must have been blind.” “You were quite drunk, my dear,” said the count.",-0.4005,-0.4005,0.0,0.183,0.817,0,1,0
167,"And the count’s been a brick, absolutely.” “You’ve got hell’s own drag with the concierge now.” “I ought to have.",-0.2263,-0.2263,0.0,0.095,0.905,0,1,0
168,"Gave her two hundred francs.” “Don’t be a damned fool.” “His,” she said, and nodded at the count.",-0.3818,-0.3818,0.0,0.14,0.86,0,1,0
169,I felt tired and pretty rotten.,-0.4588,-0.4588,0.281,0.544,0.175,0,1,0
170,"He’s mad about me, I tell you.” She was gone out of the room.",-0.4939,-0.4939,0.0,0.211,0.789,0,1,0
171,I was having a bad time.,-0.5423,-0.5423,0.0,0.538,0.462,0,1,0
172,“What did you say to him?” I was lying with my face away from her.,-0.5267,-0.5267,0.0,0.207,0.793,0,1,0
173,I did not want to see her.,-0.0572,-0.0572,0.0,0.196,0.804,0,1,0
174,"It’s my fault, Jake.",-0.4019,-0.4019,0.0,0.474,0.526,0,1,0
175,Not with my own true love.” “I know.” “Isn’t it rotten?,-0.128,-0.128,0.185,0.219,0.596,0,1,0
176,"That would be a hell of an idea after we’d just talked it out.” “We never agreed.” “Oh, you know as well as I do.",-0.5423,-0.5423,0.076,0.166,0.758,0,1,0
177,"Don’t be obstinate, darling.” “Oh, sure,” I said.",-0.296,-0.296,0.0,0.268,0.732,0,1,0
178,"I’m just low, and when I’m low I talk like a fool.” I sat up, leaned over, found my shoes beside the bed and put them on.",-0.1779,-0.1779,0.09,0.152,0.758,0,1,0
179,"“I say, Jake, I don’t want to ruin your rugs.",-0.5423,-0.5423,0.107,0.314,0.579,0,1,0
180,“I’ll finish the cigarette.” He cut off the end of his cigar with a gold cutter he wore on one end of his watch-chain.,-0.2732,-0.2732,0.0,0.087,0.913,0,1,0
181,"Awfully decent of you.” “I’m not joking you,” the count blew a cloud of smoke.",-0.1695,-0.1695,0.0,0.114,0.886,0,1,0
182,“I’m not joking you.,-0.1695,-0.1695,0.0,0.357,0.643,0,1,0
183,I never joke people.,-0.2235,-0.2235,0.0,0.486,0.514,0,1,0
184,Joke people and you make enemies.,-0.25,-0.25,0.234,0.34,0.426,0,1,0
185,“You’re terribly right.,-0.5574,-0.5574,0.0,0.643,0.357,0,1,0
186,"“You don’t joke him.” “This is a hell of a dull talk,” Brett said.",-0.7269,-0.7269,0.119,0.395,0.486,0,1,0
187,You lose the taste.” Brett’s glass was empty.,-0.5423,-0.5423,0.0,0.429,0.571,0,1,0
188,"“I was only ragging.” “I have been in seven wars and four revolutions,” the count said.",-0.5574,-0.5574,0.0,0.194,0.806,0,1,0
189,“You see them?” Below the line where his ribs stopped were two raised white welts.,-0.2263,-0.2263,0.0,0.119,0.881,0,1,0
190,"You’re dead, that’s all.” “No, my dear.",-0.4019,-0.4019,0.218,0.361,0.42,0,1,0
191,"Inside Zelli’s it was crowded, smoky, and noisy.",-0.1779,-0.1779,0.0,0.195,0.805,0,1,0
192,The nigger drummer waved at Brett.,-0.6486,-0.6486,0.0,0.462,0.538,0,1,0
193,The music stopped again.,-0.2263,-0.2263,0.0,0.388,0.612,0,1,0
194,"“You are a rotten dancer, Jake.",-0.5106,-0.5106,0.0,0.452,0.548,0,1,0
195,Michael’s trying to get his mother to put up for it.” “Could I help you?” “Don’t be an ass.,-0.2023,-0.2023,0.122,0.158,0.721,0,1,0
196,Michael’s people have loads of money.” The music stopped.,-0.2263,-0.2263,0.0,0.192,0.808,0,1,0
197,"I’m going to stay here for a while, Mr. Barnes.” We shook hands.",-0.1027,-0.1027,0.0,0.113,0.887,0,1,0
198,"“I’m sorry you feel rotten.” “Good night, Jake.",-0.0772,-0.0772,0.0,0.157,0.843,0,1,0
199,I heard his taxi stop and went to the window and called to him; he waved and started up-stairs carrying his bags.,-0.296,-0.296,0.0,0.099,0.901,0,1,0
200,Not so good.,-0.3865,-0.3865,0.0,0.567,0.433,0,1,0
201,I was tight.” “That’s strange.,-0.2023,-0.2023,0.0,0.375,0.625,0,1,0
202,Had a nigger in it.,-0.6486,-0.6486,0.0,0.589,0.411,0,1,0
203,Remember the nigger perfectly.” “Go on.” “Wonderful nigger.,-0.8625,-0.8625,0.0,0.589,0.411,0,1,0
204,Nigger put up his glove.,-0.6486,-0.6486,0.0,0.518,0.482,0,1,0
205,Awful noble-looking nigger.,-0.8074,-0.8074,0.0,0.88,0.12,0,1,0
206,Nigger went home with us in our car.,-0.6486,-0.6486,0.0,0.381,0.619,0,1,0
207,Big sporting evening.” “What happened?” “Loaned the nigger some clothes and went around with him to try and get his money.,-0.6486,-0.6486,0.0,0.177,0.823,0,1,0
208,Claimed nigger owed them money on account of wrecking hall.,-0.6486,-0.6486,0.0,0.323,0.677,0,1,0
209,Injustice everywhere.,-0.5719,-0.5719,0.0,0.787,0.213,0,1,0
210,Promoter claimed nigger promised let local boy stay.,-0.4215,-0.4215,0.195,0.336,0.469,0,1,0
211,Claimed nigger violated contract.,-0.8271,-0.8271,0.0,0.794,0.206,0,1,0
212,"‘My God, Mister Gorton,’ said nigger, ‘I didn’t do nothing in there for forty minutes but try and let him stay.",-0.2732,-0.2732,0.067,0.114,0.819,0,1,0
213,Splendid nigger.,-0.128,-0.128,0.469,0.531,0.0,0,1,0
214,Big mistake to have come to Vienna.,-0.34,-0.34,0.0,0.286,0.714,0,1,0
215,"Not so good, Jake.",-0.3865,-0.3865,0.0,0.466,0.534,0,1,0
216,Wonderful nigger.,-0.1531,-0.1531,0.463,0.537,0.0,0,1,0
217,Don’t try and fool me on Paris.” We went on.,-0.4404,-0.4404,0.0,0.244,0.756,0,1,0
218,I can take ’em or leave ’em alone.,-0.296,-0.296,0.0,0.39,0.61,0,1,0
219,Road to hell paved with unbought stuffed dogs.,-0.6808,-0.6808,0.0,0.397,0.603,0,1,0
220,"I’m a nature-writer.” A taxi passed, some one in it waved, then banged for the driver to stop.",-0.296,-0.296,0.0,0.128,0.872,0,1,0
221,“I can’t drink these rotten brandies.” “Closerie des Lilas.” Brett turned to Bill.,-0.5106,-0.5106,0.0,0.216,0.784,0,1,0
222,"“I was a fool to go away,” she said.",-0.4404,-0.4404,0.0,0.293,0.707,0,1,0
223,"“One’s an ass to leave Paris.” “Did you have a good time?” “Oh, all right.",-0.2023,-0.2023,0.156,0.253,0.591,0,1,0
224,Across the river were the broken walls of old houses that were being torn down.,-0.6249,-0.6249,0.0,0.282,0.718,0,1,0
225,"“They’re going to cut a street through.” “They would,” Bill said.",-0.2732,-0.2732,0.0,0.189,0.811,0,1,0
226,"We crossed to the left bank of the Seine by the wooden foot-bridge from the Quai de Bethune, and stopped on the bridge and looked down the river at Notre Dame.",-0.2263,-0.2263,0.0,0.06,0.94,0,1,0
227,It made no sound against the piles of the bridge.,-0.296,-0.296,0.0,0.196,0.804,0,1,0
